nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;28;"KALIMANTAN BARAT"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;13;"KALIMANTAN TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;77;"KALIMANTAN SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;13;"KALIMANTAN TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;-;"KALIMANTAN UTARA"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;141;"SULAWESI UTARA"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;37;"SULAWESI TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;87;"SULAWESI SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;52;"SULAWESI TENGGARA"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;77;GORONTALO
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;11;"SULAWESI BARAT"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;27;MALUKU
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;30;"MALUKU UTARA"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;22;"PAPUA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;8;PAPUA
"Kepadatan Penduduk";"Tidak Ada";2006;Tahun;118;INDONESIA
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;75;ACEH
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;177;"SUMATERA UTARA"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;111;"SUMATERA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;58;RIAU
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;60;JAMBI
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;116;"SUMATERA SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;82;BENGKULU
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;193;LAMPUNG
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;67;"KEP. BANGKA BELITUNG"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;172;"KEP. RIAU"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;12245;"DKI JAKARTA"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;1092;"JAWA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;987;"JAWA TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;1096;"DI YOGYAKARTA"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;790;"JAWA TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;1045;BANTEN
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;639;BALI
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;218;"NUSA TENGGARA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;96;"NUSA TENGGARA TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;35;"KALIMANTAN BARAT"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;13;"KALIMANTAN TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;87;"KALIMANTAN SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;16;"KALIMANTAN TIMUR"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;-;"KALIMANTAN UTARA"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;157;"SULAWESI UTARA"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;35;"SULAWESI TENGAH"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;167;"SULAWESI SELATAN"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;55;"SULAWESI TENGGARA"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;79;GORONTALO
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;61;"SULAWESI BARAT"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;27;MALUKU
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;24;"MALUKU UTARA"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;6;"PAPUA BARAT"
"Kepadatan Penduduk";"Tidak Ada";2007;Tahun;7;PAPUA
